"";"x"
"2021-01-01";48.5483870967742
"2021-01-02";48.5483870967742
"2021-01-03";48.5483870967742
"2021-01-04";48.5483870967742
"2021-01-05";48.5483870967742
"2021-01-06";48.5483870967742
"2021-01-07";48.5483870967742
"2021-01-08";48.5483870967742
"2021-01-09";48.5483870967742
"2021-01-10";48.5483870967742
"2021-01-11";48.5483870967742
"2021-01-12";48.5483870967742
"2021-01-13";48.5483870967742
"2021-01-14";48.5483870967742
"2021-01-15";48.5483870967742
"2021-01-16";48.5483870967742
"2021-01-17";48.5483870967742
"2021-01-18";48.5483870967742
"2021-01-19";48.5483870967742
"2021-01-20";48.5483870967742
"2021-01-21";48.5483870967742
"2021-01-22";48.5483870967742
"2021-01-23";48.5483870967742
"2021-01-24";48.5483870967742
"2021-01-25";48.5483870967742
"2021-01-26";48.5483870967742
"2021-01-27";48.5483870967742
"2021-01-28";48.5483870967742
"2021-01-29";48.5483870967742
"2021-01-30";48.5483870967742
"2021-01-31";48.5483870967742
"2021-02-01";11.1785714285714
"2021-02-02";11.1785714285714
"2021-02-03";11.1785714285714
"2021-02-04";11.1785714285714
"2021-02-05";11.1785714285714
"2021-02-06";11.1785714285714
"2021-02-07";11.1785714285714
"2021-02-08";11.1785714285714
"2021-02-09";11.1785714285714
"2021-02-10";11.1785714285714
"2021-02-11";11.1785714285714
"2021-02-12";11.1785714285714
"2021-02-13";11.1785714285714
"2021-02-14";11.1785714285714
"2021-02-15";11.1785714285714
"2021-02-16";11.1785714285714
"2021-02-17";11.1785714285714
"2021-02-18";11.1785714285714
"2021-02-19";11.1785714285714
"2021-02-20";11.1785714285714
"2021-02-21";11.1785714285714
"2021-02-22";11.1785714285714
"2021-02-23";11.1785714285714
"2021-02-24";11.1785714285714
"2021-02-25";11.1785714285714
"2021-02-26";11.1785714285714
"2021-02-27";11.1785714285714
"2021-02-28";11.1785714285714
"2021-03-01";26.0967741935484
"2021-03-02";26.0967741935484
"2021-03-03";26.0967741935484
"2021-03-04";26.0967741935484
"2021-03-05";26.0967741935484
"2021-03-06";26.0967741935484
"2021-03-07";26.0967741935484
"2021-03-08";26.0967741935484
"2021-03-09";26.0967741935484
"2021-03-10";26.0967741935484
"2021-03-11";26.0967741935484
"2021-03-12";26.0967741935484
"2021-03-13";26.0967741935484
"2021-03-14";26.0967741935484
"2021-03-15";26.0967741935484
"2021-03-16";26.0967741935484
"2021-03-17";26.0967741935484
"2021-03-18";26.0967741935484
"2021-03-19";26.0967741935484
"2021-03-20";26.0967741935484
"2021-03-21";26.0967741935484
"2021-03-22";26.0967741935484
"2021-03-23";26.0967741935484
"2021-03-24";26.0967741935484
"2021-03-25";26.0967741935484
"2021-03-26";26.0967741935484
"2021-03-27";26.0967741935484
"2021-03-28";26.0967741935484
"2021-03-29";26.0967741935484
"2021-03-30";26.0967741935484
"2021-03-31";26.0967741935484
"2021-04-01";19.3
"2021-04-02";19.3
"2021-04-03";19.3
"2021-04-04";19.3
"2021-04-05";19.3
"2021-04-06";19.3
"2021-04-07";19.3
"2021-04-08";19.3
"2021-04-09";19.3
"2021-04-10";19.3
"2021-04-11";19.3
"2021-04-12";19.3
"2021-04-13";19.3
"2021-04-14";19.3
"2021-04-15";19.3
"2021-04-16";19.3
"2021-04-17";19.3
"2021-04-18";19.3
"2021-04-19";19.3
"2021-04-20";19.3
"2021-04-21";19.3
"2021-04-22";19.3
"2021-04-23";19.3
"2021-04-24";19.3
"2021-04-25";19.3
"2021-04-26";19.3
"2021-04-27";19.3
"2021-04-28";19.3
"2021-04-29";19.3
"2021-04-30";19.3
"2021-05-01";9.19354838709677
"2021-05-02";9.19354838709677
"2021-05-03";9.19354838709677
"2021-05-04";9.19354838709677
"2021-05-05";9.19354838709677
"2021-05-06";9.19354838709677
"2021-05-07";9.19354838709677
"2021-05-08";9.19354838709677
"2021-05-09";9.19354838709677
"2021-05-10";9.19354838709677
"2021-05-11";9.19354838709677
"2021-05-12";9.19354838709677
"2021-05-13";9.19354838709677
"2021-05-14";9.19354838709677
"2021-05-15";9.19354838709677
"2021-05-16";9.19354838709677
"2021-05-17";9.19354838709677
"2021-05-18";9.19354838709677
"2021-05-19";9.19354838709677
"2021-05-20";9.19354838709677
"2021-05-21";9.19354838709677
"2021-05-22";9.19354838709677
"2021-05-23";9.19354838709677
"2021-05-24";9.19354838709677
"2021-05-25";9.19354838709677
"2021-05-26";9.19354838709677
"2021-05-27";9.19354838709677
"2021-05-28";9.19354838709677
"2021-05-29";9.19354838709677
"2021-05-30";9.19354838709677
"2021-05-31";9.19354838709677
"2021-06-01";7.36666666666667
"2021-06-02";7.36666666666667
"2021-06-03";7.36666666666667
"2021-06-04";7.36666666666667
"2021-06-05";7.36666666666667
"2021-06-06";7.36666666666667
"2021-06-07";7.36666666666667
"2021-06-08";7.36666666666667
"2021-06-09";7.36666666666667
"2021-06-10";7.36666666666667
"2021-06-11";7.36666666666667
"2021-06-12";7.36666666666667
"2021-06-13";7.36666666666667
"2021-06-14";7.36666666666667
"2021-06-15";7.36666666666667
"2021-06-16";7.36666666666667
"2021-06-17";7.36666666666667
"2021-06-18";7.36666666666667
"2021-06-19";7.36666666666667
"2021-06-20";7.36666666666667
"2021-06-21";7.36666666666667
"2021-06-22";7.36666666666667
"2021-06-23";7.36666666666667
"2021-06-24";7.36666666666667
"2021-06-25";7.36666666666667
"2021-06-26";7.36666666666667
"2021-06-27";7.36666666666667
"2021-06-28";7.36666666666667
"2021-06-29";7.36666666666667
"2021-06-30";7.36666666666667
"2021-07-01";31.3870967741935
"2021-07-02";31.3870967741935
"2021-07-03";31.3870967741935
"2021-07-04";31.3870967741935
"2021-07-05";31.3870967741935
"2021-07-06";31.3870967741935
"2021-07-07";31.3870967741935
"2021-07-08";31.3870967741935
"2021-07-09";31.3870967741935
"2021-07-10";31.3870967741935
"2021-07-11";31.3870967741935
"2021-07-12";31.3870967741935
"2021-07-13";31.3870967741935
"2021-07-14";31.3870967741935
"2021-07-15";31.3870967741935
"2021-07-16";31.3870967741935
"2021-07-17";31.3870967741935
"2021-07-18";31.3870967741935
"2021-07-19";31.3870967741935
"2021-07-20";31.3870967741935
"2021-07-21";31.3870967741935
"2021-07-22";31.3870967741935
"2021-07-23";31.3870967741935
"2021-07-24";31.3870967741935
"2021-07-25";31.3870967741935
"2021-07-26";31.3870967741935
"2021-07-27";31.3870967741935
"2021-07-28";31.3870967741935
"2021-07-29";31.3870967741935
"2021-07-30";31.3870967741935
"2021-07-31";31.3870967741935
